id,text,category,categoryText,effect
1,"يجب على الدولة العمل على فرض حد معين من القواعد الأخلاقية في المجتمع",auth_lib,سلطويّة مقابل ليبرالية,-1
2,"يجب على الدولة السماح بتشكيل الأحزاب والترويج لها",auth_lib,سلطويّة مقابل ليبرالية,1
3,"يجب على الدولة السماح للمواطنين بالاعتصام والتظاهر دون ترخيص",auth_lib,سلطويّة مقابل ليبرالية,1
4,"يجب على الدولة السماح للمواطنين بالاضراب للاعتراض على القوانين حتى لو أدّت هذه الإضرابات إلى تعطيل المؤسسات",auth_lib,سلطويّة مقابل ليبرالية,1
5,"يجب على الدولة إتاحة تقارير شفافة عن نتائج عمل كلّ مؤسساتها",auth_lib,سلطويّة مقابل ليبرالية,1
6,"يجب أن تكفل الدولة حرية التعبير للمواطنين ولو أساؤو إليها لفظياً",auth_lib,سلطويّة مقابل ليبرالية,1
7,"يجب أن يكفل قانون الدولة الحصانة للصحفيين والمراسلين لضمان حرية الصحافة",auth_lib,سلطويّة مقابل ليبرالية,1
8,"يجب على الدولة تحديد حدود الفكر المقبول تواجده في مساحات الحياة السياسية وإقصاء أفكار محددة لكونها متطرفة",auth_lib,سلطويّة مقابل ليبرالية,-1
9,"يجب على الدولة بناء دستور لا يسمح بالاستئثار بالسلطة والحكم الأبديّ",auth_lib,سلطويّة مقابل ليبرالية,1
10,"يمكن للدولة فرض قانون يمنع التظاهر والاعتصام في البلاد متى شائت",auth_lib,سلطويّة مقابل ليبرالية,-1
11,"على الدولة منع الصحفيين الأجانب من التحقيق في شؤون الفساد المحليّ",auth_lib,سلطويّة مقابل ليبرالية,-0.5
12,"على الدولة امتلاك سجون سياسيّة خاصّة لأصحاب الفكر المتطرف",auth_lib,سلطويّة مقابل ليبرالية,-0.5
13,"يجب على الدولة إقرار الزواج المدني بغض النظر عن الطائفة أو الدين",rel_sec,ديني مقابل علماني,1
14,"يجب على الدولة أن تميّز المواطن المسلم تمييزاً إيجابياً وتقدم له حقوق وواجبات إضافيّة",rel_sec,ديني مقابل علماني,-1
15,"يجب على الدولة حماية حق الأديان المختلفة في العبادة في المساحات العامة",rel_sec,ديني مقابل علماني,-0.5
16,"يجب على الدولة دعم المنظمات الدينية مادياً",rel_sec,ديني مقابل علماني,-1
17,"يجب ألّا تتدخل الدولة في الحياة الدينية للمواطنين",rel_sec,ديني مقابل علماني,0.5
18,"يجب على الدولة فرض الضرائب على التبرعات المجموعة في المنظمات الدينية",rel_sec,ديني مقابل علماني,1
19,"يجب على حاكم الدولة أن يكون من الأغلبية الدينية في البلاد",rel_sec,ديني مقابل علماني,-1
20,"يجب على الدولة أن تمنع بيع الكحول في البلاد بالكامل",rel_sec,ديني مقابل علماني,-1
21,"حريّة اللباس تشمل لبس النساء لملابس الرجال ولبس الرجال لملابس النساء",rel_sec,ديني مقابل علماني,1
22,"يجب على الدولة جمع الزكاة وتوزيعها بنفسها دون ترك الأمر للمنظمات الدينية المستقلة",rel_sec,ديني مقابل علماني,-0.5
23,"يجب على الدولة تسجيل دين المواطنين وطائفتهم وإظهارها في الأوراق الرسمية مثل الهويّات الشخصية",rel_sec,ديني مقابل علماني,-1
24,"يجب على الدولة منع تغيير الديانة والمعاقبة عليها",rel_sec,ديني مقابل علماني,-1
25,"يجب أن يكون التعليم في الجامعات والمدارس مجانيّ لكافة المواطنين",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,-1
26,"يجب أن تكون الطبابة مجّانيّة لكافة المواطنين",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,-1
27,"يجب على الدولة التكفل بإسكان كل من خسر منزله في الثورة",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,-1
28,"يجب على الدولة التكفل بدعم العاطلين عن العمل مادياً",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,-1
29,"يجب على الدولة فرض ضرائب أكثر على أصحاب الدخل الأعلى",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,-1
30,"يجب على الدولة أن تسمح ببيع مؤسسات البنى التحتية مثل المطارات والموانئ لشركات من خارج البلاد",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,1
31,"يجب على الدولة تشجيع المواطنين وتحفيزهم لاعتماد مصادر الطاقة البديلة على نفقة المواطنين الشخصية",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,0.5
32,"يجب على الدولة اجبار الشركات على تقديم اجازات أبوية للموظفين",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,-0.5
33,"يجب على الدولة اعتماد مبدأ السوق الحرة بالكامل ورفع الدعم عن كل المواد ولو كان هذا على مراحل",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,0.5
34,"يجب على الدولة العمل باتجاه تحقيق نمو اقتصادي مستمر للبلاد ولو كان هذا عن طريق الاقتراض من صندوق النقد الدولي",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,1
35,"يجب على الدولة ربط العملة بعملة أجنبية أكثر استقراراً مثل الدولار أو اليورو بدلاً من اعتماد قيمة مستقلة للعملة",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,1
36,"يجب على الدولة إعادة الأملاك التي استولى عليها النظام السابق إلى أصحابها",soc_cap,اقتصادي اشتراكي مقابل اقتصادي ليبرالي,0.5
37,"يجب على الدولة السعي لتحقيق السلام مع إسرائيل",nat_glob,قومي مقابل عالمي,1
38,"يجب على الدولة أن تتبع سياسة عدم الانحياز في كل الصراعات الجارية في المنطقة",nat_glob,قومي مقابل عالمي,0.5
39,"يجب على الدولة السماح لكافة المواطنين العرب بالدخول دون فيزا",nat_glob,قومي مقابل عالمي,-0.5
40,"يجب على الدولة قبول قروض من صندوق النقد الدولي لتسريع النمو في البلاد",nat_glob,قومي مقابل عالمي,1
41,"يجب على الدولة استضافة قواعد عسكرية لدولة أخرى على ترابها",nat_glob,قومي مقابل عالمي,1
42,"يجب على الدولة تطبيق مبدأ المعاملة بالمثل مع كلّ مواطني دول العالم",nat_glob,قومي مقابل عالمي,-0.5
43,"يجب على الدولة منع اكتساب الجنسية من خلال الزواج إطلاقاً",nat_glob,قومي مقابل عالمي,-1
